file_name,ast_parse_success,taint_source_count,sql_sink_count,cmd_sink_count,xss_sink_count,path_sink_count,ldap_sink_count,xxe_sink_count,weak_crypto_sink_count,sql_sanitizer_count,xss_sanitizer_count,path_sanitizer_count,generic_sanitizer_count,total_sink_count,total_sanitizer_count,sanitizer_to_sink_ratio,has_any_sink,has_any_sanitizer,string_concat_near_sink_count,source_to_sink_line_distance,source_before_sink,variable_alias_hops,method_count,try_catch_count,total_lines,total_chars,import_count,string_literal_count,sqli_tainted_sink_reached,sqli_sanitized_before_sink,cmdi_tainted_sink_reached,cmdi_sanitized_before_sink,pathtraver_tainted_sink_reached,pathtraver_sanitized_before_sink,ldapi_tainted_sink_reached,ldapi_sanitized_before_sink,xpathi_tainted_sink_reached,xpathi_sanitized_before_sink,taint_trace_parse_error,test_name,actual_category,actual_cwe,is_actually_vulnerable
BenchmarkTest00001.java,1,3,0,0,8,5,0,0,0,3,4,0,3,13,10,0.769,1,1,0,27,1,4,2,2,106,4395,6,15,0,0,0,0,1,0,0,0,0,0,0,BenchmarkTest00001,pathtraver,22,1
BenchmarkTest00002.java,1,3,0,0,8,3,0,0,0,1,2,0,1,11,4,0.364,1,1,0,27,1,4,2,2,93,3666,6,14,0,0,0,0,1,0,0,0,0,0,0,BenchmarkTest00002,pathtraver,22,1
BenchmarkTest00003.java,1,3,1,2,12,2,0,0,0,2,2,0,2,17,6,0.353,1,1,0,50,1,2,2,1,120,5283,6,21,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00003,hash,328,1
BenchmarkTest00004.java,1,3,0,0,3,0,0,0,0,0,1,0,0,3,1,0.333,1,1,0,-1,0,1,2,0,76,3137,6,13,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00004,trustbound,501,1
BenchmarkTest00005.java,1,4,0,1,12,2,0,0,5,2,2,0,2,15,6,0.4,1,1,0,44,1,2,2,1,122,5385,6,16,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00005,crypto,327,1
BenchmarkTest00006.java,1,4,0,4,3,0,0,0,0,0,0,0,0,7,0,0.0,1,0,0,19,1,1,2,1,77,2747,6,15,0,0,1,0,0,0,0,0,0,0,0,BenchmarkTest00006,cmdi,78,1
BenchmarkTest00007.java,1,4,0,3,6,0,0,0,0,1,2,0,1,9,4,0.444,1,1,0,13,1,1,2,1,70,2612,6,8,0,0,1,0,0,0,0,0,0,0,0,BenchmarkTest00007,cmdi,78,1
BenchmarkTest00008.java,1,4,2,1,4,0,0,0,0,0,0,0,0,7,0,0.0,1,0,0,13,1,1,2,1,67,2615,6,10,1,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00008,sqli,89,1
BenchmarkTest00009.java,1,3,1,3,14,2,0,0,0,2,2,0,2,20,6,0.3,1,1,0,45,1,3,2,1,124,5319,6,16,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00009,hash,328,0
BenchmarkTest00010.java,1,5,1,2,11,0,0,0,2,0,0,0,0,14,0,0.0,1,0,0,65,1,5,2,1,116,4966,6,15,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00010,weakrand,330,0
BenchmarkTest00011.java,1,5,0,0,9,1,0,0,0,1,1,0,1,10,3,0.3,1,1,0,9,1,1,2,0,70,2740,6,11,0,0,0,0,1,0,0,0,0,0,0,BenchmarkTest00011,pathtraver,22,1
BenchmarkTest00012.java,1,5,0,0,6,0,8,0,0,3,4,0,3,14,10,0.714,1,1,0,-1,0,3,2,2,112,5056,6,18,0,0,0,0,0,0,1,0,0,0,0,BenchmarkTest00012,ldapi,90,1
BenchmarkTest00013.java,1,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1,0,0,-1,0,1,2,0,58,2186,6,10,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00013,xss,79,1
